pl_name,hostname,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_insol,pl_eqt,pl_dens,pl_orbincl,st_teff,st_rad,st_mass,st_met,st_logg,st_age,st_dens,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
Kepler-1597 b,Kepler-1597,1,1,0,0,Transit,2016,2.94654179,0.04136,1.06,0.09456687,1.2,0.00377,0.0,1431.311,1497.0,5.54,89.92,6377.0,1.39,1.25,0.02,4.24,2.4,0.43,1221.05,14.257,12.927,14.1152
Kepler-687 b,Kepler-687,1,1,0,0,Transit,2016,20.50586978,0.1326,3.52,0.31403337,12.2,0.0383,0.0,15.648,518.0,1.54,89.62,4841.0,0.73,0.77,-0.04,4.6,5.5,2.64998,633.66,15.695,13.216,15.3943
Kepler-1596 b,Kepler-1596,1,1,0,0,Transit,2016,66.373379,0.3237,1.9,0.16950665,4.27,0.0134,0.0,33.378,471.0,3.42,89.98,5706.0,0.92,0.95,-0.11,4.49,3.89,0.42377,2146.23,15.632,13.826,15.3662
Kepler-692 b,Kepler-692,1,1,0,0,Transit,2016,21.81293494,0.1495,3.11,0.27745562,9.85,0.031,0.0,28.504,639.0,1.8,89.92,5440.0,0.86,0.9,-0.01,4.53,4.68,2.38978,991.336,15.676,13.702,15.5495
Kepler-150 c,Kepler-150,1,5,0,0,Transit,2014,7.381998,0.073,3.69,0.329,13.2,0.0415,0.0,132.091,876.0,1.44,89.71,5560.0,0.939,0.956,0.12,4.466,1.74,1.39,891.092,15.161,13.367,14.9743
Kepler-1494 b,Kepler-1494,1,1,0,0,Transit,2016,91.080482,0.3982,3.07,0.27388706,9.64,0.0303,0.0,9.113,415.0,1.83,88.47,5659.0,0.94,0.96,0.01,4.48,4.37,0.08704,1285.48,15.372,13.536,15.217
Kepler-1502 b,Kepler-1502,1,1,0,0,Transit,2016,41.7083629,0.2482,3.18,0.2837006,10.2,0.0322,0.0,77.324,608.0,1.74,88.65,6666.0,1.72,1.44,0.05,4.13,1.7,0.39395,1514.02,14.18,12.907,14.0931
Kepler-1490 b,Kepler-1490,1,1,0,0,Transit,2016,92.4362973,0.3729,3.04,0.27121063,9.48,0.0298,0.0,3.788,348.0,1.85,88.85,5515.0,0.87,0.9,-0.08,4.52,4.57,0.23138,862.92,15.616,13.616,15.4179
Kepler-1491 b,Kepler-1491,1,2,0,0,Transit,2016,16.5861762,0.127,1.51,0.13471318,2.89,0.00909,0.0,138.108,821.0,4.61,89.47,5728.0,0.99,1.0,0.06,4.45,4.57,0.40099,2065.59,15.796,13.949,15.5695
Kepler-171 b,Kepler-171,1,3,0,0,Transit,2014,4.166972,0.05,2.34,0.209,6.08,0.0191,0.0,304.178,1053.0,2.61,89.89,5642.0,0.839,0.978,0.17,4.566,2.4,1.28,863.855,15.101,13.206,14.9053
Kepler-1926 b,Kepler-1926,1,1,0,0,Transit,2021,42.87770081,0.2197,2.31495961,0.20652722,5.97,0.0188,0.0,9.8,451.0,2.64,89.99,5256.0,0.832,0.768,-0.16,4.483,,49.97101,667.405,15.8,13.626,15.6668
Kepler-1631 b,Kepler-1631,1,1,0,0,Transit,2016,4.09513932,0.0511,1.35,0.12043893,2.39,0.00752,0.0,446.918,1122.0,5.34,75.96,5679.0,0.95,0.97,0.04,4.47,4.17,4.00557,1305.99,15.673,13.782,15.4951
KOI-1599.02,KOI-1599,1,2,0,0,Transit,2019,13.6088,0.112293,1.9,0.16950665,9.0,0.02831702,0.0114,76.81,755.0,7.21,88.6,5833.0,0.972,1.02,0.06,4.472,4.7,0.01743,1131.64,14.795,13.238,14.854
Kepler-719 b,Kepler-719,1,1,0,0,Transit,2016,5.007317779,0.0556,8.52,0.76010349,54.5,0.172,0.0,234.28,998.0,0.484,87.87,5777.0,0.98,0.99,-0.02,4.45,3.98,0.68424,2497.51,16.128,14.126,15.9037
Kepler-734 b,Kepler-734,1,1,0,0,Transit,2016,6.104852856,0.0583,3.56,0.31760193,12.4,0.039,0.0,89.25,784.0,1.51,89.78,5326.0,0.78,0.85,-0.17,4.59,2.34,0.57209,1157.21,14.469,12.668,14.4119
Kepler-1408 b,Kepler-1408,1,1,0,0,Transit,2016,2.99793191,0.04218,0.89,0.07940048,0.64,0.00201,0.0,1982.268,1616.0,4.99,85.24,6170.0,1.35,1.21,0.0,4.25,2.57,0.22,535.048,12.124,10.694,11.9622
Kepler-1427 b,Kepler-1427,1,1,0,0,Transit,2016,0.968972376,0.0197,1.1,0.09813543,1.37,0.0043,0.0,2730.51,1844.0,5.66,89.25,5793.0,1.01,1.01,0.06,4.44,4.07,2.4494,1220.0,15.601,13.711,15.4816
Kepler-1665 b,Kepler-1665,1,1,0,0,Transit,2020,11.9548,0.096,2.83910787,0.25328824,8.44,0.0266,0.0,40.4,906.0,2.03,89.03,5049.84,0.777785,0.842,-0.013,4.58166,13.9,2.522884,335.515,13.737,11.571,13.5913
Kepler-342 e,Kepler-342,1,4,0,0,Transit,2016,1.644224613,0.02909,0.88,0.07850834,0.615,0.00193,0.0,3111.322,1897.0,4.96,58.94,6366.0,1.34,1.26,0.12,4.28,2.04,0.01292,781.611,13.2,11.957,13.0992
Kepler-267 b,Kepler-267,1,3,0,0,Transit,2014,3.353728,0.037,1.98,0.177,37.9,0.119,0.0,45.843,615.0,26.8,89.84,4258.0,0.555,0.541571,-0.18,4.729,3.06,4.69279,264.993,16.69,12.485,15.4693
Kepler-1738 b,Kepler-1738,1,1,0,0,Transit,2021,7.674630165,0.0781,2.82472883,0.25200586,8.37,0.0263,0.0,198.67,957.0,2.04,85.69,6063.0,1.001,1.079,-0.02,4.47,0.3,0.62777,1302.87,15.649,13.851,15.4178
Kepler-746 b,Kepler-746,1,1,0,0,Transit,2016,3.48159251,0.0435,1.11,0.09902757,1.41,0.00444,0.0,421.61,1156.0,5.67,89.71,5418.0,0.93,0.91,0.09,4.46,8.71,5.1037,450.0,13.785,11.815,13.6111
Kepler-760 b,Kepler-760,1,2,0,0,Transit,2016,8.70419416,0.08087,3.06,0.27299491,9.59,0.0302,0.0,84.406,748.0,1.84,88.6,5322.0,0.85,0.89,0.08,4.54,4.57,1.48,792.336,15.181,13.239,15.0731
Kepler-272 c,Kepler-272,1,3,0,0,Transit,2014,6.057342,0.061,1.79,0.16,97.8,0.308,0.0,310.76,947.0,93.7,88.98,5297.0,0.929,0.91,0.04,4.426,13.18,0.57,889.608,14.811,12.708,14.6591
Kepler-775 b,Kepler-775,1,1,0,0,Transit,2016,0.974868926,0.01834,1.19,0.10616469,1.81,0.0057,0.0,1496.75,1612.0,5.9,88.53,5468.0,0.84,0.92,-0.04,4.56,1.86,1.5,398.676,13.564,11.774,13.4673
Kepler-498 b,Kepler-498,1,1,0,0,Transit,2016,9.61375356,0.0897,3.03,0.27031849,9.43,0.0297,0.0,202.775,931.0,1.86,87.37,5744.0,0.96,0.98,-0.04,4.47,3.89,0.46378,938.844,14.349,12.755,14.2463
Kepler-877 b,Kepler-877,1,1,0,0,Transit,2016,18.45847097,0.1301,2.12,0.18913373,5.14,0.0162,0.0,37.81,632.0,2.96,88.09,5261.0,0.81,0.85,-0.06,4.56,4.57,1.19692,602.176,14.74,12.653,14.5228
Kepler-865 b,Kepler-865,1,2,0,0,Transit,2016,14.16399294,0.1057,2.49,0.22214292,6.76,0.0213,0.0,46.362,694.0,2.41,89.94,5570.0,0.92,0.93,-0.01,4.49,4.27,1.51938,586.137,14.635,12.684,14.5036
Kepler-288 c,Kepler-288,1,3,0,0,Transit,2014,19.305772,0.14,2.85,0.254,8.5,0.0267,0.0,53.148,815.0,2.02,90.0,5918.0,1.091,0.842,-0.24,4.353,12.3,0.8,1194.15,15.283,13.587,15.152
Kepler-794 b,Kepler-794,1,1,0,0,Transit,2016,11.13125132,0.10036,2.11,0.18824159,5.1,0.016,0.0,299.97,952.0,2.98,89.97,5839.0,1.38,1.19,0.34,4.23,4.07,0.26,931.192,13.599,12.011,13.442
Kepler-485 b,Kepler-485,1,1,0,0,Transit,2016,3.243259796,0.04401,14.41,1.28557409,,,0.0,622.014,1243.0,,89.27,5958.0,1.09,1.07,0.04,4.39,3.72,1.38843,1140.95,15.069,13.433,14.8981
Kepler-340 c,Kepler-340,1,2,0,0,Transit,2014,22.824669,0.178,3.37,0.301,11.3,0.0355,0.0,154.653,946.0,1.62,89.38,6620.0,1.85,1.65,0.06,4.063,1.29,0.62132,808.762,12.329,11.583,12.3031
Kepler-333 b,Kepler-333,2,2,0,0,Transit,2014,12.551158,0.087,1.32,0.118,28.2,0.089,0.0,16.819,480.0,67.4,88.9,4259.0,0.534,0.601,0.0465,4.732,3.24,2.78337,324.413,15.052,12.118,14.7212
Kepler-951 b,Kepler-951,2,1,0,0,Transit,2016,71.52530845,0.3091,5.59,0.4987064,26.7,0.0839,0.0,2.472,340.0,0.84,89.96,4834.0,0.73,0.77,-0.01,4.6,4.27,3.54555,382.509,14.841,12.251,14.4908
Kepler-66 b,Kepler-66,1,1,0,0,Transit,2013,17.815815,0.1352,2.8,0.25,8.25,0.0259,0.0,62.845,699.0,2.07,87.08,5962.0,0.966,1.038,-0.2,4.484,1.0,1.62,1202.96,15.29,13.621,15.1474
Kepler-1805 b,Kepler-1805,1,1,0,0,Transit,2021,8.847940445,0.0699,1.54502915,0.13783851,3.0,0.00945,0.0,12.48,479.0,4.47,89.92,3867.0,0.552,0.581,0.1,4.718,1.65,9.04523,221.639,15.536,11.811,14.8955
Kepler-1792 b,Kepler-1792,1,1,0,0,Transit,2021,4.1957798,0.0488,2.51990972,0.22481167,6.89,0.0217,0.0,283.78,1047.0,2.37,87.73,5229.0,1.005,0.878,0.32,4.378,,2.46352,601.029,15.566,13.132,15.1726
Kepler-276 d,Kepler-276,1,3,0,0,Transit,2013,48.648,0.24666,2.8,0.25,16.3,0.051,0.0,11.274,489.0,0.76,87.42,5693.0,1.03,1.1,-0.29,4.46,0.4,1.27,1144.86,15.481,13.838,15.3648
Kepler-372 c,Kepler-372,1,3,0,0,Transit,2014,20.053763,0.154,2.09,0.186,5.02,0.0158,0.0,91.881,755.0,3.02,83.71,6509.0,1.137,1.202,-0.13,4.405,2.349,0.54,1493.95,14.928,13.559,14.8342
Kepler-114 b,Kepler-114,1,3,0,0,Transit,2014,5.188549,0.053,1.26,0.112,1.09,0.00342952,0.0,92.535,586.0,2.53,89.39,4605.0,0.667,0.77,0.2291,4.65,2.69,3.41328,259.533,13.961,11.366,13.7125
Kepler-1207 b,Kepler-1207,1,1,0,0,Transit,2016,13.68237119,0.1156,1.62,0.14452672,3.26,0.0102,0.0,352.508,802.0,4.21,88.35,5909.0,1.06,1.06,0.05,4.41,3.63,0.8893,1754.19,14.595,13.017,14.4485
Kepler-1249 b,Kepler-1249,1,1,0,0,Transit,2016,24.3347127,0.167,2.38,0.21232938,6.26,0.0197,0.0,98.336,647.0,2.55,89.97,6202.0,1.28,1.19,0.06,4.29,2.82,0.67505,1904.54,15.391,13.828,15.3518
Kepler-1859 b,Kepler-1859,1,2,0,0,Transit,2021,2.729599953,0.0394,1.58313575,0.14123815,3.13,0.00985,0.0,1056.15,1455.0,4.33,85.66,5887.0,1.235,1.09,0.16,4.292,2.5,0.77497,1331.25,15.178,13.714,15.1088
Kepler-1244 b,Kepler-1244,1,1,0,0,Transit,2016,3.70428172,0.0502,1.35,0.12043893,2.39,0.00752,0.0,4756.325,1839.0,5.34,90.0,6680.0,1.77,1.46,0.05,4.1,1.7,0.117813,1075.81,12.444,11.269,12.3234
Kepler-213 c,Kepler-213,1,2,0,0,Transit,2014,4.822962,0.057,2.34,0.209,6.08,0.0191,0.0,339.536,1060.0,2.61,87.56,5696.0,1.195,1.07,0.15,4.31,1.62,0.78,634.939,13.705,12.122,13.6023
Kepler-1388 b,Kepler-1388,1,4,0,0,Transit,2016,12.2854603,0.0882,2.59,0.23106432,7.22,0.0227,0.0,17.674,434.0,2.28,89.46,4098.0,0.61,0.63,0.02,4.67,4.47,3.82796,453.795,16.43,13.343,16.2941
Kepler-258 c,Kepler-258,1,2,0,0,Transit,2014,33.653079,0.193,3.61,0.322,12.7,0.0399,0.0,7.985,470.0,1.48,89.42,4942.0,0.915,0.82,0.3031,4.441,13.7,3.0299,575.988,15.49,12.956,15.2012
Kepler-355 b,Kepler-355,1,2,0,0,Transit,2014,11.03189,0.102,1.46,0.13,2.73,0.00859,0.0,154.803,840.0,4.82,88.59,6184.0,1.066,0.933,-0.06,4.441,10.0,0.59,1432.17,15.242,13.673,15.0663
Kepler-324 e,Kepler-324,1,4,0,0,Transit,2021,13.97939968,0.10972,2.03862444,0.1818742,235.014,0.73943674,0.0,38.9,635.0,0.16,88.6,5191.0,0.826,0.844,0.08,4.53,3.39,5.19596,501.574,14.222,12.291,14.0909
Kepler-330 b,Kepler-330,1,2,0,0,Transit,2014,8.25978,0.075,1.35,0.12,2.39,0.00752,0.0,66.578,714.0,5.34,89.57,5117.0,0.722,0.848,0.16,4.636,3.47,1.73,717.527,15.569,13.259,15.2634
Kepler-233 c,Kepler-233,1,2,0,0,Transit,2014,60.418955,0.287,2.71,0.242,7.8,0.0245,0.0,6.195,390.0,2.15,89.94,5360.0,0.758,0.855,-0.09,4.614,0.6,3.86328,856.417,15.477,13.453,15.3263
Kepler-174 d,Kepler-174,1,3,0,0,Transit,2014,247.35373,0.677,2.19,0.195,5.43,0.0171,0.0,0.53,212.0,2.84,89.99,4880.0,0.622,0.602,-0.56,4.679,4.9,2.8723,384.757,14.53,12.184,14.2858
Kepler-200 c,Kepler-200,1,2,0,0,Transit,2014,10.222157,0.09,1.59,0.142,3.15,0.00993,0.0,126.361,806.0,4.31,88.23,5678.0,0.944,0.972,-0.006,4.454,6.3,1.08,665.912,13.932,12.455,13.9518
Kepler-130 d,Kepler-130,2,3,0,0,Transit,2014,87.517905,0.377,1.64,0.146,3.33,0.0105,0.8,9.834,451.0,4.15,89.16,5884.0,1.127,0.927,-0.199,4.304,5.89,0.63,316.663,11.572,10.49,11.8253
Kepler-541 b,Kepler-541,1,1,0,0,Transit,2016,5.08005848,0.06447,3.36,0.29975912,11.2,0.0354,0.0,1452.904,1673.0,1.62,83.85,6166.0,2.06,1.41,0.07,3.96,3.09,0.16,1060.68,13.383,11.733,13.228
Kepler-1585 b,Kepler-1585,1,1,0,0,Transit,2016,3.5827463,0.0445,1.79,0.1596931,3.86,0.0121,0.0,182.941,1064.0,3.7,89.55,5538.0,0.91,0.94,0.08,4.5,4.37,8.05131,944.465,16.326,14.125,15.9772
Kepler-1275 b,Kepler-1275,1,1,0,0,Transit,2016,3.65691115,0.0488,1.48,0.13203676,2.79,0.00879,0.0,822.484,1368.0,4.73,89.07,6296.0,1.36,1.23,0.04,4.26,2.51,3.17374,1153.98,14.595,13.062,14.4061
Kepler-60 d,Kepler-60,1,3,0,0,Transit,2012,11.8981,0.10203,1.99,0.17753591,4.16,0.01308876,0.002,161.0,929.0,2.91,87.21,5905.0,1.257,1.041,-0.09,4.26,8.91,0.34,1025.1,13.95,12.516,13.9132
Kepler-1176 b,Kepler-1176,1,1,0,0,Transit,2016,24.1738579,0.1589,2.45,0.21857436,6.57,0.0207,0.0,26.087,595.0,2.45,89.76,5844.0,1.02,1.01,-0.01,4.42,3.8,6.92559,864.699,15.27,13.31,15.0496
Kepler-1225 b,Kepler-1225,1,1,0,0,Transit,2016,7.01075434,0.0771,1.82,0.16236952,3.97,0.0125,0.0,324.282,1453.0,3.62,88.92,6140.0,1.19,1.13,0.01,4.34,3.02,5.68003,1347.52,14.819,13.282,14.632
Kepler-1394 b,Kepler-1394,1,1,0,0,Transit,2016,3.93766373,0.05474,1.39,0.12400749,2.51,0.0079,0.0,2023.005,1947.0,5.14,87.96,6481.0,2.55,1.64,0.06,3.84,1.91,0.18,640.409,11.714,10.679,11.7144
Kepler-1649 b,Kepler-1649,1,2,0,0,Transit,2017,8.689099,0.0514,1.017,0.09073066,1.03,0.00325,0.0,2.208,307.0,5.38,89.15,3240.0,0.2317,0.1977,-0.15,5.004,,22.919969,92.1913,17.95,12.589,16.2682
TOI-1246 c,TOI-1246,1,4,0,0,Transit,2022,5.904137,0.061,2.45109846,0.21867273,9.1,0.0286318,0.0,129.0,862.49,3.39,89.3,5213.0,0.8649,0.8889,0.168,4.51,6.3,1.9182,169.422,11.632,9.907,11.7291
Kepler-1468 c,Kepler-1468,1,3,0,0,Transit,2016,3.54553021,0.0466,1.15,0.10259613,1.6,0.00505,0.0,1479.567,1448.0,5.78,88.75,5893.0,1.05,1.04,0.03,4.42,3.55,0.39233,1899.24,15.111,13.458,14.9515
Kepler-326 c,Kepler-326,1,3,0,0,Transit,2014,4.580358,0.051,1.4,0.125,17.4,0.055,0.0,303.62,889.0,34.8,88.6,5105.0,0.801,0.91,0.2385,4.556,13.18,0.81,487.675,13.734,11.673,13.6788
Kepler-1085 c,Kepler-1085,1,2,0,0,Transit,2020,56.7771,0.29798,3.26817741,0.29156726,10.7,0.0337,0.0,11.8,491.0,1.68,89.15,5816.0,1.0783,1.05,0.22,4.39378,1.07,1.180686,1364.53,15.273,13.891,15.2469
Kepler-1229 b,Kepler-1229,1,1,0,0,Transit,2016,86.828989,0.3006,1.4,0.12489963,2.54,0.008,0.0,0.524,212.0,5.09,89.9971,3784.0,0.51,0.54,-0.06,4.75,3.72,4.35164,265.482,16.124,12.374,15.5104
Kepler-1542 e,Kepler-1542,1,4,0,0,Transit,2016,5.10115756,0.05649,0.76,0.06780266,0.363,0.00114,0.0,369.999,1065.0,4.54,89.68,5564.0,0.99,0.94,0.06,4.41,8.51,0.58,399.114,12.734,10.989,12.5876
Kepler-1178 b,Kepler-1178,1,1,0,0,Transit,2016,31.80634,0.1596,1.07,0.09545901,1.24,0.0039,0.0,23.237,378.0,5.56,89.5,4990.0,0.75,0.8,-0.05,4.59,4.68,3.02114,482.287,14.212,11.735,13.9597
K2-187 c,K2-187,1,4,0,0,Transit,2018,2.871512,0.0392,1.4,0.12489985,2.54,0.008,,414.343,1173.0,5.09,90.4,5438.0,0.83,0.966999,0.0,4.6,,1.682303,330.916,13.102,11.196,12.8673
Kepler-1060 b,Kepler-1060,1,1,0,0,Transit,2016,46.8779367,0.2495,2.38,0.21232938,6.26,0.0197,0.0,17.416,484.0,2.55,87.75,5797.0,0.99,0.99,-0.03,4.44,4.27,0.29666,946.565,14.827,12.964,14.6366
Kepler-990 b,Kepler-990,1,2,0,0,Transit,2016,9.91723428,0.08595,2.6,0.23195646,7.27,0.0229,0.0,108.3,903.0,2.27,87.06,5948.0,1.08,1.05,0.01,4.39,3.55,1.0,802.163,14.716,12.928,14.4949
Kepler-1126 b,Kepler-1126,1,2,0,0,Transit,2016,108.593329,0.41251,1.73,0.15434026,3.64,0.0115,0.0,4.55,374.0,3.86,90.0,5798.0,0.93,0.92,-0.26,4.46,5.5,1.08,635.736,14.221,12.534,14.0207
Kepler-100 c,Kepler-100,1,4,0,0,Transit,2014,12.8159,0.11061,2.2,0.196,7.05,0.02218167,0.02,208.657,939.0,1.721102,87.4,5825.0,1.49,1.08,0.02,4.125,6.46,0.44,304.645,11.055,9.768,11.1293
Kepler-172 c,Kepler-172,1,4,0,0,Transit,2014,6.388996,0.068,2.86,0.255,8.55,0.0269,0.0,227.225,970.0,2.01,83.26,5526.0,1.085,1.081,0.39,4.375,2.69,0.97,828.592,14.703,12.793,14.5369
Kepler-663 b,Kepler-663,1,1,0,0,Transit,2016,4.99678284,0.0559,2.6,0.23195646,7.27,0.0229,0.0,167.979,917.0,2.27,86.9,5264.0,0.82,0.86,0.03,4.55,4.57,4.37918,1063.09,15.881,13.903,15.8686
HD 102117 b,HD 102117,1,1,0,0,Radial Velocity,2005,20.8133,0.15,8.47,0.756,54.0311,0.17,0.12,63.8539,780.86,0.489,,5655.0,1.23,1.06,0.28,4.29,10.0,0.741306,39.5792,7.47,5.833,7.28191
HD 137388 b,HD 137388,1,1,0,0,Radial Velocity,2011,330.0,0.89,9.32,0.832,63.566,0.2,0.36,0.5807,248.42,0.431,,5181.0,0.88,0.68,0.19,4.39,6.45,1.71112,40.4841,8.71,6.763,8.47996
HD 50554 b,HD 50554,1,1,0,0,Radial Velocity,2002,1293.0,2.353,12.8,1.14,1859.29618095,5.85,0.501,0.251,190.08,4.87,61.0,5987.0,1.02,1.04,-0.04,4.333282,2.16,1.084757,31.1664,6.8561,5.467,6.69786
WASP-24 b,WASP-24,3,1,0,0,Transit,2010,2.34121,0.03651,15.46842,1.38,394.1092,1.24,0.0,934.465,1772.0,0.622,83.64,6075.0,1.42,1.43,0.0,4.26,3.8,0.71,322.114,11.219,10.148,11.3945
HD 156846 b,HD 156846,2,1,0,0,Radial Velocity,2007,359.51001,1.12,12.4,1.11,3391.2461,10.67,0.85,3.97,382.49,9.77,,6090.0,1.9,1.38,0.15,4.02,2.4,0.203686,47.7332,6.5,5.149,6.3623
WASP-151 b,WASP-151,1,1,0,0,Transit,2017,4.5334775,0.055,13.30506009,1.187,100.43377661,0.316,0.0,460.0,1312.0,0.250651,88.25,5871.0,1.181,1.081,0.1,4.35,5.5,0.924846,453.099,12.821,11.187,12.6278
Kepler-80 g,Kepler-80,1,6,0,0,Transit,2017,14.64558,,1.13,0.10081185,0.065,0.00020451,0.1303,,418.0,0.31,89.35,4540.0,0.678,0.83,0.04,4.639,2.0,2.26,369.451,15.23,12.253,14.7555
Kepler-263 b,Kepler-263,1,2,0,0,Transit,2014,16.568087,0.12,2.67,0.238,7.61,0.0239,0.0,24.308,548.0,2.2,89.69,5265.0,0.785,0.793,-0.0314,4.576,2.24,2.0,754.747,15.435,13.548,15.4167
K2-10 b,K2-10,1,1,0,0,Transit,2015,19.30553,0.137,3.773,0.33660509,25.2,0.07928807,0.31,42.1,649.0,2.36,89.50414,5533.0,0.956,0.88,-0.07,4.47,,1.508035,272.36,12.429,10.645,12.2156
TOI-411 b,HD 22946,1,3,0,0,Transit,2022,4.040295,0.05727,1.362,0.12150971,13.71,0.04313648,0.126,495.139,1241.0,18.96,88.3,6169.0,1.117,1.098,-0.08,4.47,2.5,1.1,62.7792,8.270001,6.981,8.1281
WASP-120 b,WASP-120,1,1,0,0,Transit,2016,3.61126721,0.0514,15.58048317,1.39,1541.4755,4.85,0.057,1818.5489,1749.0,2.334107,84.54,6450.0,1.68443,1.393,-0.05,4.035,0.7,0.299,381.174,10.96,9.877,10.8989
Kepler-1006 b,Kepler-1006,1,1,0,0,Transit,2016,19.76172042,0.1464,1.54,0.1373896,2.99,0.0094,0.0,153.493,791.0,4.5,86.86,5328.0,0.74,0.78,-0.4,4.59,4.27,1.8432,1081.738,14.467,12.502,
Kepler-398 d,Kepler-398,1,3,0,0,Transit,2016,6.83437001,0.0618,0.88,0.07850834,0.615,0.00193,0.0,40.831,636.0,4.96,85.83,4557.0,0.67,0.72,-0.06,4.64,2.34,0.37842,177.355,13.499,10.794,13.2351
TOI-4034 b,TOI-4034,1,1,0,0,Transit,2026,1.8020932,0.03289,17.71018951,1.58,276.51071409,0.87,0.0,1870.78,1907.0,0.275,80.76,5891.0,1.83,1.19,0.12,3.87,5.7,0.277,745.145,13.262,11.459,13.1082
TOI-5335 b,TOI-5335,1,1,0,0,Transit,2026,3.61365988443,,4.02422162,0.35901762,15.3,0.048,,200.83,1048.0,1.29,86.1238,5528.92,0.916633,0.945,,4.4497,,0.996882,331.289,13.428,11.223,13.087
Kepler-253 d,Kepler-253,1,3,0,0,Transit,2014,18.119869,0.13,3.17,0.283,10.2,0.032,0.0,24.084,563.0,1.76,89.64,5208.0,0.786,0.86,0.15,4.595,3.72,1.66,838.595,15.778,13.534,15.5122
K2-62 b,K2-62,1,2,0,0,Transit,2016,6.67199,0.0636,2.02,0.18021264,4.74,0.0149,,46.7,666.0,3.16,89.09984,4455.0,0.696,0.67,-0.1,4.57,,3.006962,112.467,12.391,9.688,12.0433
Kepler-369 b,Kepler-369,1,2,0,0,Transit,2014,2.732756,0.03,1.13,0.101,1.51,0.00474,0.0,40.295,687.0,5.75,86.76,3591.0,0.471,0.5,-0.09,4.785,4.17,4.326912,214.0,16.429,12.395,15.6683
Kepler-657 b,Kepler-657,1,1,0,0,Transit,2016,24.54350418,0.17337,3.52,0.31403337,12.2,0.0383,0.0,62.2,616.0,1.54,89.91,5808.0,1.01,1.01,0.03,4.44,4.17,0.59382,1691.88,15.404,13.761,15.319
Kepler-513 b,Kepler-513,1,1,0,0,Transit,2016,28.86235584,0.1779,2.2,0.19627085,5.48,0.0172,0.0,36.527,623.0,2.83,88.35,5849.0,1.06,1.02,-0.01,4.39,5.5,0.72,468.258,13.019,11.469,12.8822
TOI-1180 b,TOI-1180,1,1,0,0,Transit,2024,9.686760378,0.080799,3.072,0.27406595,10.0,0.03146352,0.0,36.97,638.18,1.93,89.20777,4738.0,0.73,0.75,0.067,4.587,5.0,2.6608,72.0238,11.017,8.594,10.7445
11 UMi b,11 UMi,1,1,0,0,Radial Velocity,2009,516.21997,1.53,12.3,1.09,4684.8142,14.74,0.08,114.8502,896.43,13.8,,4213.0,29.79,2.78,-0.02,1.93,1.56,,125.321,5.013,1.939,4.56216
Kepler-1390 b,Kepler-1390,1,1,0,0,Transit,2016,6.48021673,0.0662,1.18,0.10527255,1.76,0.00553,0.0,171.133,934.0,5.89,86.12,5753.0,0.98,0.98,-0.01,4.45,4.47,1.58258,723.431,14.558,12.764,14.4022
OGLE-2018-BLG-0298L b,OGLE-2018-BLG-0298L,1,1,0,0,Microlensing,2022,,2.86,7.56,0.674,44.49597698,0.14,,,,0.566,,,,0.69,,,,,6540.0,,,
WASP-60 b,WASP-60,1,1,0,0,Transit,2012,4.305,0.05548,9.86392,0.88,174.8065,0.55,0.0,925.4935,1479.0,0.378,87.9,5900.0,1.17,1.19,-0.04,4.2,1.7,1.03,431.052,11.67,10.585,12.0196
Kepler-1762 b,Kepler-1762,1,1,0,0,Transit,2021,29.53910065,0.204,2.76022913,0.24625157,8.05,0.0253,0.0,61.49,714.0,2.1,89.78,6572.0,1.238,1.298,0.07,4.365,0.28,3.47173,1663.74,15.239,13.874,15.083
Kepler-98 b,Kepler-98,1,1,0,0,Transit,2014,1.54168,0.02614,1.99,0.178,3.55,0.011,0.0,1107.389,1592.0,2.18,86.47,5539.0,1.11,0.99,0.18,4.341,2.79,1.12,350.315,12.996,11.253,12.8694
Kepler-403 c,Kepler-403,1,3,0,0,Transit,2014,54.280749,0.297,1.75,0.156,3.71,0.0117,0.0,45.154,604.0,3.8,88.82,6090.0,1.329,1.299,0.079,4.266,3.09,0.22,840.269,12.818,11.537,12.7598
Kepler-292 b,Kepler-292,1,5,0,0,Transit,2014,2.580827,0.035,1.32,0.118,2.3,0.00724,0.0,394.301,1130.0,5.5,89.0,5299.0,0.826,0.865,0.04,4.536,5.13,1.59,1056.48,16.303,13.97,15.9419
K2-49 b,K2-49,1,1,0,0,Transit,2016,2.77065,0.0309,1.93,0.17218307,4.38,0.0138,,59.0,768.28,3.35,,4175.0,0.45,0.51,,4.81,,2.535262,457.125,15.668,12.729,15.2444
HD 142245 b,HD 142245,3,1,0,0,Radial Velocity,2011,1299.0,2.78,13.1,1.17,975.7381,3.07,0.0,1.7468,306.3,2.39,,4922.0,4.63,3.5,0.17,3.65,2.3,,97.2305,7.46,5.11,7.18949
TOI-1452 b,TOI-1452,2,1,0,0,Transit,2022,11.06201,0.061,1.672,0.14916611,4.82,0.01516542,0.0,1.8,326.0,5.6,89.77,3185.0,0.275,0.249,-0.07,4.95,,16.8,30.5212,14.354,9.74,13.6233
